AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
E07000128,Wyre,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.79,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E47000004,Liverpool City Region,Combined Authority or City Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.64,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E08000011,Knowsley ,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,0.65,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000012,Liverpool,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.53,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000014,Sefton,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.43,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000013,St. Helens,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.18,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000015,Wirral,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.19,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E12000003,Yorkshire and The Humber,Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.75,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E06000011,East Riding of Yorkshire,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,6.43,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000010,"Kingston upon Hull, City of",County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.37,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000012,North East Lincolnshire,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.91,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000013,North Lincolnshire,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,5.89,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E47000012,York and North Yorkshire,Combined Authority or City Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,10.63,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E06000014,York,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,11.83,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000065,North Yorkshire,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,10.24,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E07000163,Craven,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,7.03,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,Obsolete code since 2023 (replaced by E06000065 North Yorkshire)
E07000164,Hambleton,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,9.92,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,Obsolete code since 2023 (replaced by E06000065 North Yorkshire)
E07000165,Harrogate,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,7.99,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,Obsolete code since 2023 (replaced by E06000065 North Yorkshire)
E07000166,Richmondshire,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,14.06,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,Obsolete code since 2023 (replaced by E06000065 North Yorkshire)
E07000167,Ryedale,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,29.25,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,Obsolete code since 2023 (replaced by E06000065 North Yorkshire)
E07000168,Scarborough,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,12.88,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,Obsolete code since 2023 (replaced by E06000065 North Yorkshire)
E07000169,Selby,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,0.0,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,Obsolete code since 2023 (replaced by E06000065 North Yorkshire)
E47000002,South Yorkshire,Combined Authority or City Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.18,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E08000016,Barnsley,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.27,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000017,Doncaster,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.62,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000018,Rotherham ,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.13,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000019,Sheffield,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.52,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E47000003,West Yorkshire,Combined Authority or City Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.85,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E08000032,Bradford ,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.75,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000033,Calderdale,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.39,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000034,Kirklees ,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.54,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000035,Leeds ,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.71,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000036,Wakefield,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.4,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E12000004,East Midlands,Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.69,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E47000013,East Midlands,Combined Authority or City Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.31,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E06000015,Derby ,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.06,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000016,Leicester,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.98,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000061,North Northamptonshire,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,5.56,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000018,Nottingham,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.02,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000017,Rutland ,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,7.31,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000062,West Northamptonshire,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.23,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E10000007,Derbyshire,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,6.04,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E07000032,Amber Valley,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,7.92,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000033,Bolsover,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.98,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000034,Chesterfield,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.9,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000035,Derbyshire Dales,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,26.56,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000036,Erewash,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,0.89,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
