AREANM,AREACD,Period,Observation
creggan-south,95mm11w1,1998,3.256
crevagh_1,95mm12s1,1998,5.816
crevagh_2,95mm12s2,1998,0.043
crevagh_3,95mm12s3,1998,4.476
culmore_1,95mm13s1,1998,4.407
culmore_2,95mm13s2,1998,0.183
culmore_3,95mm13s3,1998,0.583
culmore_4,95mm13s4,1998,1.32
culmore_5,95mm13s5,1998,10.77
ebrington_1,95mm14s1,1998,5.421
ebrington_2,95mm14s2,1998,59.301
eglinton_1,95mm15s1,1998,58.513
eglinton_2,95mm15s2,1998,12.223
enagh_1_derry,95mm16s1,1998,49.926
enagh_2_derry,95mm16s2,1998,112.726
foyle-springs_1,95mm17s1,1998,0.716
foyle-springs_2,95mm17s2,1998,1.341
holly-mount_1,95mm18s1,1998,9.936
holly-mount_2,95mm18s2,1998,7.332
kilfennan_1,95mm19s1,1998,5.689
kilfennan_2,95mm19s2,1998,9.856
lisnagelvin_1,95mm20s1,1998,4.873
lisnagelvin_2,95mm20s2,1998,16.638
new-buildings_1,95mm21s1,1998,8.176
new-buildings_2,95mm21s2,1998,6.397
pennyburn_1,95mm22s1,1998,34.286
pennyburn_2,95mm22s2,1998,11.659
rosemount,95mm23w1,1998,8.969
shantallow-east,95mm24w1,1998,7.156
shantallow-west_1,95mm25s1,1998,0.32
shantallow-west_2,95mm25s2,1998,0.151
shantallow-west_3,95mm25s3,1998,5.75
shantallow-west_4,95mm25s4,1998,7.367
springtown_1,95mm26s1,1998,34.286
springtown_2,95mm26s2,1998,70.818
strand_1_derry,95mm27s1,1998,111.593
strand_2_derry,95mm27s2,1998,18.488
the-diamond,95mm28w1,1998,87.522
victoria_derry,95mm29w1,1998,30.793
westland,95mm30w1,1998,5.691
ardglass_1,95nn01s1,1998,4.503
ardglass_2,95nn01s2,1998,3.094
audley-s-acre,95nn02w1,1998,10.741
ballymaglave_1,95nn03s1,1998,17.764
ballymaglave_2,95nn03s2,1998,8.211
ballymote,95nn04w1,1998,30.521
ballynahinch-east,95nn05w1,1998,23.775
castlewellan_1,95nn06s1,1998,5.222
castlewellan_2,95nn06s2,1998,23.18
cathedral_1,95nn07s1,1998,7.578
cathedral_2,95nn07s2,1998,45.228
crossgar_1,95nn08s1,1998,6.129
crossgar_2,95nn08s2,1998,14.647
derryboy_1,95nn09s1,1998,4.186
derryboy_2,95nn09s2,1998,3.367
donard_1,95nn10s1,1998,14.875
donard_2,95nn10s2,1998,6.067
drumaness_1,95nn11s1,1998,8.658
drumaness_2,95nn11s2,1998,15.535
dundrum,95nn12w1,1998,10.305
dunmore,95nn13w1,1998,16.199
killough_1,95nn14s1,1998,3.924
killough_2,95nn14s2,1998,9.335
killyleagh,95nn15w1,1998,10.417
kilmore_1,95nn16s1,1998,18.029
kilmore_2,95nn16s2,1998,5.023
murlough,95nn17w1,1998,23.489
quoile_1,95nn18s1,1998,13.196
quoile_2,95nn18s2,1998,19.547
saintfield_1,95nn19s1,1998,5.595
saintfield_2,95nn19s2,1998,20.578
seaforde,95nn20w1,1998,15.36
shimna,95nn21w1,1998,19.661
strangford,95nn22w1,1998,17.232
tollymore_1,95nn23s1,1998,7.673
tollymore_2,95nn23s2,1998,3.738
altmore,95oo01w1,1998,22.956
augher,95oo02w1,1998,19.737
aughnacloy,95oo03w1,1998,16.969
ballygawley,95oo04w1,1998,33.782
ballysaggart,95oo05w1,1998,15.959
benburb,95oo06w1,1998,78.601
caledon,95oo07w1,1998,18.328
castlecaulfield,95oo08w1,1998,24.51
clogher,95oo09w1,1998,15.991
coalisland-north,95oo10w1,1998,22.176
coalisland-south,95oo11w1,1998,25.287
coalisland-west-and-newmills,95oo12w1,1998,37.957
coolhill,95oo13w1,1998,46.422
donaghmore,95oo14w1,1998,30.048
drumglass,95oo15w1,1998,44.039
fivemiletown,95oo16w1,1998,153.034
killyman,95oo17w1,1998,23.816
killymeal,95oo18w1,1998,54.869
moy,95oo19w1,1998,34.095
moygashel,95oo20w1,1998,28.117
mullaghmore,95oo21w1,1998,42.963
washing-bay,95oo22w1,1998,14.221
ballinamallard,95pp01w1,1998,22.47
belcoo-and-garrison,95pp02w1,1998,3.941
belleek-and-boa,95pp03w1,1998,13.088
boho-cleenish-and-letterbreen,95pp04w1,1998,21.734
brookeborough,95pp05w1,1998,8.752
castlecoole_1,95pp06s1,1998,5.311
castlecoole_2,95pp06s2,1998,50.564
derrygonnelly,95pp07w1,1998,15.071
