AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
e06000019,herefordshire-county-of,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.89898989898991,Percentage,%,,,,1,
e06000051,shropshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,85.90604026845638,Percentage,%,,,,1,
e06000021,stoke-on-trent,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.10989010989012,Percentage,%,,,,1,
e06000020,telford-and-wrekin,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,85.33333333333333,Percentage,%,,,,1,
e10000028,staffordshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.77556109725685,Percentage,%,,,,1,
e10000031,warwickshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.47368421052632,Percentage,%,,,,1,
e08000025,birmingham,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.92970521541947,Percentage,%,,,,1,
e08000026,coventry,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,87.28813559322033,Percentage,%,,,,1,
e08000027,dudley,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,85.98130841121495,Percentage,%,,,,1,
e08000028,sandwell,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,88.42975206611571,Percentage,%,,,,1,
e08000029,solihull,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,87.8048780487805,Percentage,%,,,,1,
e08000030,walsall,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.1639344262295,Percentage,%,,,,1,
e08000031,wolverhampton,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.72727272727272,Percentage,%,,,,1,
e10000034,worcestershire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.34426229508196,Percentage,%,,,,1,
e12000006,east-of-england,region,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.01572327044026,Percentage,%,,,,1,
e06000055,bedford,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,87.83783783783784,Percentage,%,,,,1,
e06000056,central-bedfordshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,86.92307692307693,Percentage,%,,,,1,
e06000032,luton,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.85714285714285,Percentage,%,,,,1,
e06000031,peterborough,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,81.01265822784809,Percentage,%,,,,1,
e06000033,southend-on-sea,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.15384615384616,Percentage,%,,,,1,
e06000034,thurrock,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,91.07142857142858,Percentage,%,,,,1,
e10000003,cambridgeshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,91.28787878787878,Percentage,%,,,,1,
e10000012,essex,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.57246376811594,Percentage,%,,,,1,
e10000015,hertfordshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,91.8867924528302,Percentage,%,,,,1,
e10000020,norfolk,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,86.36363636363637,Percentage,%,,,,1,
e10000029,suffolk,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,88.4012539184953,Percentage,%,,,,1,
e12000007,london,region,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.02184087363494,Percentage,%,,,,1,
e09000007,camden,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,98.24561403508773,Percentage,%,,,,1,
e09000001,city-of-london,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,,Percentage,%,,,x,1,
e09000012,hackney,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,98.73417721518987,Percentage,%,,,,1,
e09000013,hammersmith-and-fulham,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,100.0,Percentage,%,,,,1,
e09000014,haringey,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,97.64705882352942,Percentage,%,,,,1,
e09000019,islington,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.92307692307692,Percentage,%,,,,1,
e09000020,kensington-and-chelsea,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,94.87179487179488,Percentage,%,,,,1,
e09000022,lambeth,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.9090909090909,Percentage,%,,,,1,
e09000023,lewisham,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,98.83720930232558,Percentage,%,,,,1,
e09000025,newham,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.03960396039604,Percentage,%,,,,1,
e09000028,southwark,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.1904761904762,Percentage,%,,,,1,
e09000030,tower-hamlets,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,95.65217391304348,Percentage,%,,,,1,
e09000032,wandsworth,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,94.11764705882354,Percentage,%,,,,1,
e09000033,westminster,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.42857142857144,Percentage,%,,,,1,
e09000002,barking-and-dagenham,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.66666666666666,Percentage,%,,,,1,
e09000003,barnet,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.12403100775194,Percentage,%,,,,1,
e09000004,bexley,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.7710843373494,Percentage,%,,,,1,
e09000005,brent,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,95.45454545454544,Percentage,%,,,,1,
e09000006,bromley,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,97.0,Percentage,%,,,,1,
e09000008,croydon,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.4,Percentage,%,,,,1,
e09000009,ealing,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,97.87234042553192,Percentage,%,,,,1,
e09000010,enfield,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.875,Percentage,%,,,,1,
e09000011,greenwich,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,94.31818181818184,Percentage,%,,,,1,
e09000015,harrow,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,95.0,Percentage,%,,,,1,
e09000016,havering,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,97.53086419753086,Percentage,%,,,,1,
e09000017,hillingdon,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.92929292929291,Percentage,%,,,,1,
e09000018,hounslow,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,98.66666666666666,Percentage,%,,,,1,
e09000021,kingston-upon-thames,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,100.0,Percentage,%,,,,1,
e09000024,merton,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,94.73684210526316,Percentage,%,,,,1,
e09000026,redbridge,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,94.9367088607595,Percentage,%,,,,1,
e09000027,richmond-upon-thames,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,100.0,Percentage,%,,,,1,
e09000029,sutton,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,98.41269841269842,Percentage,%,,,,1,
e09000031,waltham-forest,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,96.15384615384616,Percentage,%,,,,1,
e12000008,south-east,region,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,91.22962962962964,Percentage,%,,,,1,
e06000036,bracknell-forest,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,97.3684210526316,Percentage,%,,,,1,
e06000043,brighton-and-hove,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,85.5072463768116,Percentage,%,,,,1,
e06000060,buckinghamshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,86.80851063829788,Percentage,%,,,,1,
e06000046,isle-of-wight,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,77.08333333333333,Percentage,%,,,,1,
