indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
Inward foreign direct investment,E47000004,Liverpool City Region,ITL Level 2,10067,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,ITL Level 2,7888,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,ITL Level 2,8568,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,ITL Level 2,11738,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,ITL Level 2,6474,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,ITL Level 2,6645,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,ITL Level 2,9150,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,Combined Authority or City Region,11738,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,Combined Authority or City Region,6645,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,Combined Authority or City Region,6474,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,Combined Authority or City Region,9150,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,Combined Authority or City Region,8568,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,Combined Authority or City Region,7888,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000004,Liverpool City Region,Combined Authority or City Region,10067,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLE,Yorkshire and The Humber,ITL Level 1,64870,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLE,Yorkshire and The Humber,ITL Level 1,80922,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLE,Yorkshire and The Humber,ITL Level 1,53814,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLE,Yorkshire and The Humber,ITL Level 1,53253,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLE,Yorkshire and The Humber,ITL Level 1,36906,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLE,Yorkshire and The Humber,ITL Level 1,37220,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLE,Yorkshire and The Humber,ITL Level 1,50260,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,5647,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,11477,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,9924,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,10249,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,10235,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,12607,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,18174,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000012,York and North Yorkshire,ITL Level 2,6067,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000012,York and North Yorkshire,ITL Level 2,5863,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000012,York and North Yorkshire,ITL Level 2,11222,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000012,York and North Yorkshire,ITL Level 2,7508,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000012,York and North Yorkshire,ITL Level 2,3717,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000012,York and North Yorkshire,ITL Level 2,4292,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000012,York and North Yorkshire,ITL Level 2,3241,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,ITL Level 2,13914,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,ITL Level 2,13672,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,ITL Level 2,10033,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,ITL Level 2,13624,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,ITL Level 2,7698,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,ITL Level 2,8543,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,ITL Level 2,7404,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,Combined Authority or City Region,8543,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,Combined Authority or City Region,7698,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,Combined Authority or City Region,7404,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,Combined Authority or City Region,10033,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,Combined Authority or City Region,13672,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,Combined Authority or City Region,13914,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000002,South Yorkshire,Combined Authority or City Region,13624,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,ITL Level 2,32282,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,ITL Level 2,41616,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,ITL Level 2,23482,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,ITL Level 2,31778,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,ITL Level 2,16337,£ million,Pounds,2017-01-01/P1Y,,,
