areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes,notes
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,749,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,764,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,891,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,867,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1183,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,895,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,832,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,616,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1017,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,986,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,790,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,812,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,628,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,698,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,760,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,863,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,696,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,762,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,764,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,591,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,929,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1047,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000015,Cardiff,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1054,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,827,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,898,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,1006,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,908,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,997,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,1062,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1218,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1103,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,996,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,792,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1126,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1110,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000016,Rhondda Cynon Taf,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1311,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,1033,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,786,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,923,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,922,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,1016,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,948,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,1054,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1163,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,955,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1010,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,856,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1401,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000024,Merthyr Tydfil,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1107,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,936,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,963,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,961,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,937,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,1128,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1265,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,791,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1133,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,1090,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,950,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1279,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1326,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000018,Caerphilly,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1323,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,860,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,1025,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,1050,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,1022,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,1082,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,1350,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1462,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1207,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,1107,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,847,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1291,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1493,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000019,Blaenau Gwent,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1558,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,992,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,955,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,956,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,969,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,800,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,1201,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,1363,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1530,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1297,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,966,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1393,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1634,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000020,Torfaen,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1389,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,380,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,462,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,493,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,618,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,585,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,762,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,529,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,645,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,699,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,602,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,887,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,866,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000021,Monmouthshire,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,841,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,921,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,706,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,728,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,941,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1035,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,910,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,937,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,628,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1046,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1104,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,828,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1192,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000022,Newport,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,680,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship achievements (Wales),2016-08-01/P1Y,555,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship achievements (Wales),2017-08-01/P1Y,702,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship achievements (Wales),2018-08-01/P1Y,773,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship achievements (Wales),2021-08-01/P1Y,430,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship achievements (Wales),2022-08-01/P1Y,473,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship achievements (Wales),2023-08-01/P1Y,489,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W92000004,Wales,Nation,Apprenticeship achievements (Wales),2024-08-01/P1Y,519,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship achievements (Wales),2024-08-01/P1Y,531,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,434,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,584,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,945,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,734,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,704,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,489,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,499,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship achievements (Wales),2024-08-01/P1Y,461,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,430,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,531,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,673,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,588,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,728,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship achievements (Wales),2024-08-01/P1Y,419,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,385,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,368,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,424,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,687,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,584,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,710,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,393,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,612,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,761,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,664,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,341,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,377,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship achievements (Wales),2024-08-01/P1Y,408,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,416,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship achievements (Wales),2024-08-01/P1Y,445,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,341,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,457,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,612,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,592,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,559,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,566,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,760,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,701,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,390,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,392,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,437,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship achievements (Wales),2024-08-01/P1Y,449,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship achievements (Wales),2024-08-01/P1Y,384,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,360,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,437,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,404,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,634,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,570,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,376,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,323,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship achievements (Wales),2024-08-01/P1Y,327,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,414,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,412,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,478,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,402,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,625,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship achievements (Wales),2016-08-01/P1Y,712,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship achievements (Wales),2017-08-01/P1Y,781,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship achievements (Wales),2018-08-01/P1Y,888,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship achievements (Wales),2021-08-01/P1Y,564,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship achievements (Wales),2022-08-01/P1Y,507,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship achievements (Wales),2023-08-01/P1Y,536,"Rate per 100,000 population","Rate per 100,000 population",,,,,
