AREACD,AREANM,Geography,Indicator,Observation,Unit,Measure,Period,Lower_confidence_interval_95,Upper_confidence_interval_95,Observation_status
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,605.1016699,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,585.0550927,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,604.9580256,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,622.5074283,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,409.9093062,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,633.8377145,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,568.644324,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,591.5420077,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,564.366338,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,501.7990157,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,666.6590433,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,386.8398356,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,356.3999797,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,387.2328929,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,345.4994155,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,284.3985232,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,407.0574069,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,405.5597118,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,375.6067239,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,390.188036,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,405.9757486,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,366.7862218,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
